ID,AYAT
0,The Most Beneficent (Allah)!r
1,Has taught (you mankind) the Quran (by His Mercy).r
2,He created man.r
3,He taught him eloquent speech.r
4,"The sun and the moon run on their fixed courses (exactly) calculated with measured out stages for each (for reckoning, etc.).r"
5,And the herbs (or stars) and the trees both prostrate.r
6,"And the heaven He has raised high, and He has set up the Balance.r"
7,In order that you may not transgress (due) balance.r
8,And observe the weight with equity and do not make the balance deficient.r
9,And the earth He has put for the creatures.r
10,"Therein are fruits, date-palms producing sheathed fruit-stalks (enclosing dates).r"
11,"And also corn, with (its) leaves and stalk for fodder, and sweet-scented plants.r"
12,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
13,He created man (Adam) from sounding clay like the clay of pottery.r
14,And the jinns did He create from a smokeless flame of fire.r
15,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
16,(He is) the Lord of the two easts (places of sunrise during early summer and early winter) and the Lord of the two wests (places of sunset during early summer and early winter).r
17,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
18,He has let loose the two seas (the salt water and the sweet) meeting together.r
19,Between them is a barrier which none of them can transgress.r
20,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
21,Out of them both come out pearl and coral.r
22,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
23,"And His are the ships going and coming in the seas, like mountains.r"
24,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
25,Whatsoever is on it (the earth) will perish.r
26,And the Face of your Lord full of Majesty and Honour will abide forever.r
27,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
28,"Whosoever is in the heavens and on earth begs of Him (its needs from Him). Every day He has a matter to bring forth (such as giving honour to some, disgrace to some, life to some, death to some, etc.)!r"
29,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
30,"We shall attend to you, O you two classes (jinns and men)!r"
31,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
32,"O assembly of jinns and men! If you have power to pass beyond the zones of the heavens and the earth, then pass (them)! But you will never be able to pass them, except with authority (from Allah)!r"
33,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
34,"There will be sent against you both, smokeless flames of fire and (molten) brass, and you will not be able to defend yourselves.r"
35,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
36,"Then when the heaven is rent asunder, and it becomes rosy or red like red-oil, or red hide.r"
37,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
38,"So on that Day no question will be asked of man or jinn as to his sin, (because they have already been known from their faces either white or black).r"
39,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
40,"The Mujrimun (polytheists, criminals, sinners, etc.) will be known by their marks (black faces), and they will be seized by their forelocks and their feet.r"
41,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
42,"This is Hell which the Mujrimun (polytheists, criminals, sinners, etc.) denied.r"
43,They will go between it (Hell) and the boiling hot water!r
44,Then which of the Blessings of your Lord will you both (jinns and men) deny?r
