RAMZAN_DATE,SEHERI,IFTAR,MASJID_ID
1,4:30,6:43,1
2,4:30,6:43,1
3,4:29,6:43,1
4,4:29,6:44,1
5,4:29,6:44,1
6,4:29,6:44,1
7,4:29,6:45,1
8,4:29,6:45,1
9,4:29,6:45,1
10,4:29,6:45,1
11,4:29,6:45,1
12,4:29,6:46,1
13,4:29,6:46,1
14,4:29,6:46,1
15,4:29,6:46,1
16,4:29,6:46,1
17,4:30,6:47,1
18,4:30,6:48,1
19,4:30,6:48,1
20,4:30,6:48,1
21,4:31,6:48,1
22,4:31,6:49,1
23,4:31,6:49,1
24,4:31,6:49,1
25,4:31,6:49,1
27,4:31,6:41,1
28,4:31,6:41,1
29,4:30,6:41,1
30,4:30,6:41,1
31,4:30,6:42,1
1,4:30,6:43,2
2,4:30,6:43,2
3,4:29,6:43,2
4,4:29,6:44,2
5,4:29,6:44,2
6,4:29,6:44,2
7,4:29,6:45,2
8,4:29,6:45,2
9,4:29,6:45,2
10,4:29,6:45,2
11,4:29,6:45,2
12,4:29,6:46,2
13,4:29,6:46,2
14,4:29,6:46,2
15,4:29,6:46,2
16,4:29,6:46,2
17,4:30,6:47,2
18,4:30,6:48,2
19,4:30,6:48,2
20,4:30,6:48,2
21,4:31,6:48,2
22,4:31,6:49,2
23,4:31,6:49,2
24,4:31,6:49,2
25,4:31,6:49,2
27,4:31,6:41,2
28,4:31,6:41,2
29,4:30,6:41,2
30,4:30,6:41,2
31,4:30,6:42,2
